IDUser,Location,Edad,ISBN,Calificacion,Titulo,Autor,Idioma,Generos1,Generos2,Generos3,Generos4,Generos5,Generos6,Generos7,Generos8,Generos9,Generos10,Paginas,FechaPublicacion
2033,""" usa""",27,836220889,10,"""""""""Calvin and Hobbes""","""Bill Watterson, GB Trudeau (Foreword)""","""English""","""Comics""","""Humor""","""Graphic Novels""","""Fiction""","""Childrens""","""Comedy""","""Graphic Novels Comics""","""Comic Book""","""Classics""","""Comic Strips""",128,87
2033,""" usa""",27,886774004,10,"""Arrows Fall""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""Young Adult""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Romance""","""Adventure""","""Adult""",319,88
2033,""" usa""",27,886776619,9,"""Storm Warning""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Adult""","""Adventure""","""Young Adult""","""Science Fiction""",428,94
10560,""" usa""",27,452281431,8,"""Beautys Punishment""","""AN Roquelaure (pseudonym), Anne Rice""","""English""","""Erotica""","""Fiction""","""Fantasy""","""Romance""","""BDSM""","""Adult""","""Fairy Tales""","""Adult Fiction""","""Sexuality""","""Erotic Romance""",233,84
10560,""" usa""",27,452284449,8,"""The Virgin Blue""","""Tracy Chevalier (Goodreads Author)""","""English""","""Historical Fiction""","""Fiction""","""Historical""","""France""","""Art""","""Mystery""","""Romance""","""Adult Fiction""","""Adult""","""Contemporary""",304,97
10560,""" usa""",27,765341174,8,"""Sarah""","""Orson Scott Card""","""English""","""Historical Fiction""","""Fiction""","""Religion""","""Historical""","""Biblical Fiction""","""Lds""","""Christian Fiction""","""Christian""","""Lds Fiction""","""Fantasy""",341,0
13552,""" usa""",32,380899531,9,"""Love Only Once""","""Johanna Lindsey""","""English""","""Historical Romance""","""Romance""","""Historical""","""Regency""","""Historical Fiction""","""Fiction""","""Regency Romance""","""Adult""","""British Literature""","""Pirates""",344,85
13552,""" usa""",32,380756285,7,"""Angel""","""Johanna Lindsey""","""English""","""Romance""","""Historical Romance""","""Historical""","""Westerns""","""Western Romance""","""Historical Fiction""","""Fiction""","""Adult""","""Western Historical Romance""","""Love""",416,92
13552,""" usa""",32,440222842,6,"""Five Days in Paris""","""Danielle Steel""","""English""","""Romance""","""Fiction""","""Chick Lit""","""Novels""","""Contemporary""","""France""","""Contemporary Romance""","""Adult Fiction""","""Love""","""Adult""",291,95
16795,""" usa""",47,385720106,9,"""A Map of the World""","""Jane Hamilton, Frank Muller (Narrator), CJ Critt (Narrator)""","""English""","""Fiction""","""Contemporary""","""Adult Fiction""","""Literary Fiction""","""Novels""","""Literature""","""Drama""","""Adult""","""Realistic Fiction""","""Family""",400,92
16795,""" usa""",47,375701214,8,"""The Diving Bell and the Butterfly""","""Jean-Dominique Bauby, Jeremy Leggatt (Translator)""","""English""","""Nonfiction""","""Memoir""","""Biography""","""Biography Memoir""","""Autobiography""","""France""","""Medicine""","""Medical""","""Classics""","""Disability""",132,97
16795,""" usa""",47,671525743,8,"""Night Whispers""","""Judith McNaught""","""English""","""Romance""","""Contemporary Romance""","""Contemporary""","""Romantic Suspense""","""Fiction""","""Suspense""","""Mystery""","""Chick Lit""","""Adult""","""Historical Romance""",451,98
16795,""" usa""",47,440194903,8,"""When the Wind Blows""","""John Saul""","""English""","""Horror""","""Fiction""","""Thriller""","""Mystery""","""Supernatural""","""Suspense""","""Adult""","""Paranormal""","""Mystery Thriller""","""Fantasy""",352,81
44852,""" usa""",39,1576737330,7,"""The Prayer of Jabez: Breaking Through to the Blessed Life""","""Bruce H Wilkinson""","""English""","""Christian""","""Nonfiction""","""Religion""","""Prayer""","""Christianity""","""Spirituality""","""Faith""","""Christian Living""","""Christian Non Fiction""","""Inspirational""",93,0
44852,""" usa""",39,375725784,8,"""A Heartbreaking Work of Staggering Genius""","""Dave Eggers""","""English""","""Fiction""","""Contemporary""","""Literature""","""Novels""","""Humor""","""Biography Memoir""","""American""","""Unfinished""","""Adult""","""Literary Fiction""",485,0
44852,""" usa""",39,385720106,6,"""A Map of the World""","""Jane Hamilton, Frank Muller (Narrator), CJ Critt (Narrator)""","""English""","""Fiction""","""Contemporary""","""Adult Fiction""","""Literary Fiction""","""Novels""","""Literature""","""Drama""","""Adult""","""Realistic Fiction""","""Family""",400,92
44852,""" usa""",39,375702709,8,"""A Lesson Before Dying""","""Ernest J Gaines""","""English""","""Fiction""","""Classics""","""Historical Fiction""","""African American""","""School""","""Literature""","""Adult Fiction""","""Novels""","""Historical""","""Literary Fiction""",256,93
46398,""" usa""",37,385486804,7,"""Into the Wild""","""Jon Krakauer (Goodreads Author)""","""English""","""Nonfiction""","""Biography""","""Travel""","""Adventure""","""Classics""","""Memoir""","""Nature""","""Biography Memoir""","""School""","""Survival""",207,96
46398,""" usa""",37,345316509,10,"""Job: A Comedy of Justice""","""Robert A Heinlein""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Humor""","""Religion""","""Speculative Fiction""","""Comedy""","""Adventure""","""Novels""",439,84
46398,""" usa""",37,380752867,7,"""And Eternity""","""Piers Anthony""","""English""","""Fantasy""","""Fiction""","""Science Fiction""","""Science Fiction Fantasy""","""Urban Fantasy""","""Paranormal""","""Magic""","""Mythology""","""Supernatural""","""Adult""",378,89
56399,""" united kingdom""",63,452284449,8,"""The Virgin Blue""","""Tracy Chevalier (Goodreads Author)""","""English""","""Historical Fiction""","""Fiction""","""Historical""","""France""","""Art""","""Mystery""","""Romance""","""Adult Fiction""","""Adult""","""Contemporary""",304,97
56399,""" united kingdom""",63,61000027,10,"""Dance Hall of the Dead""","""Tony Hillerman""","""English""","""Mystery""","""Fiction""","""Crime""","""Mystery Thriller""","""Westerns""","""Audiobook""","""Detective""","""Thriller""","""American""","""Adult""",255,73
56399,""" united kingdom""",63,440178002,10,"""Sh?gun""","""James Clavell""","""English""","""Historical Fiction""","""Fiction""","""Japan""","""Historical""","""Classics""","""Adventure""","""Asia""","""Literature""","""Novels""","""Japanese Literature""",1152,75
56447,""" usa""",22,60958022,8,"""Five Quarters of the Orange""","""Joanne Harris (Goodreads Author)""","""English""","""Fiction""","""Historical Fiction""","""France""","""Historical""","""Food""","""World War II""","""Contemporary""","""War""","""Book Club""","""Mystery""",307,1
56447,""" usa""",22,375702709,7,"""A Lesson Before Dying""","""Ernest J Gaines""","""English""","""Fiction""","""Classics""","""Historical Fiction""","""African American""","""School""","""Literature""","""Adult Fiction""","""Novels""","""Historical""","""Literary Fiction""",256,93
56447,""" usa""",22,842329293,7,"""The Indwelling""","""Tim LaHaye, Jerry B Jenkins (Goodreads Author)""","""English""","""Christian Fiction""","""Fiction""","""Christian""","""Religion""","""Fantasy""","""Thriller""","""Christianity""","""Faith""","""Apocalyptic""","""Spirituality""",389,0
60244,""" usa""",47,1576737330,8,"""The Prayer of Jabez: Breaking Through to the Blessed Life""","""Bruce H Wilkinson""","""English""","""Christian""","""Nonfiction""","""Religion""","""Prayer""","""Christianity""","""Spirituality""","""Faith""","""Christian Living""","""Christian Non Fiction""","""Inspirational""",93,0
60244,""" usa""",47,385720106,8,"""A Map of the World""","""Jane Hamilton, Frank Muller (Narrator), CJ Critt (Narrator)""","""English""","""Fiction""","""Contemporary""","""Adult Fiction""","""Literary Fiction""","""Novels""","""Literature""","""Drama""","""Adult""","""Realistic Fiction""","""Family""",400,92
60244,""" usa""",47,807508527,7,"""The Boxcar Children""","""Gertrude Chandler Warner, L Kate Deal (Illustrator)""","""English""","""Childrens""","""Fiction""","""Mystery""","""Classics""","""Young Adult""","""Middle Grade""","""Chapter Books""","""Adventure""","""Juvenile""","""Realistic Fiction""",160,42
60244,""" usa""",47,375702709,9,"""A Lesson Before Dying""","""Ernest J Gaines""","""English""","""Fiction""","""Classics""","""Historical Fiction""","""African American""","""School""","""Literature""","""Adult Fiction""","""Novels""","""Historical""","""Literary Fiction""",256,93
74026,""" usa""",21,812513738,8,"""The Shadow Rising""","""Robert Jordan""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Epic""","""Adventure""","""Audiobook""","""Magic""","""Adult""",1007,92
74026,""" usa""",21,812565959,8,"""Shadow of the Hegemon""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Adventure""","""Novels""","""Space""","""War""",451,0
74026,""" usa""",21,345316509,7,"""Job: A Comedy of Justice""","""Robert A Heinlein""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Humor""","""Religion""","""Speculative Fiction""","""Comedy""","""Adventure""","""Novels""",439,84
78973,""" portugal""",29,836220889,10,"""Calvin and Hobbes""","""Bill Watterson, GB Trudeau (Foreword)""","""English""","""Comics""","""Humor""","""Graphic Novels""","""Fiction""","""Childrens""","""Comedy""","""Graphic Novels Comics""","""Comic Book""","""Classics""","""Comic Strips""",128,87
78973,""" portugal""",29,60958022,8,"""Five Quarters of the Orange""","""Joanne Harris (Goodreads Author)""","""English""","""Fiction""","""Historical Fiction""","""France""","""Historical""","""Food""","""World War II""","""Contemporary""","""War""","""Book Club""","""Mystery""",307,1
78973,""" portugal""",29,440222842,7,"""Five Days in Paris""","""Danielle Steel""","""English""","""Romance""","""Fiction""","""Chick Lit""","""Novels""","""Contemporary""","""France""","""Contemporary Romance""","""Adult Fiction""","""Love""","""Adult""",291,95
78973,""" portugal""",29,553582895,10,"""Dark Rivers of the Heart""","""Dean Koontz (Goodreads Author)""","""English""","""Horror""","""Fiction""","""Thriller""","""Suspense""","""Mystery""","""Mystery Thriller""","""Science Fiction""","""Action""","""Fantasy""","""Crime""",582,94
91113,""" usa""",26,152017682,7,"""The Darkangel""","""Meredith Ann Pierce""","""English""","""Young Adult""","""Fantasy""","""Romance""","""Paranormal""","""Fiction""","""Young Adult Fantasy""","""Angels""","""Vampires""","""Science Fiction""","""Supernatural""",281,82
91113,""" usa""",26,425184226,7,"""The Sum of All Fears""","""Tom Clancy""","""""","""Fiction""","""Thriller""","""Espionage""","""Action""","""Military Fiction""","""Suspense""","""Adventure""","""Mystery""","""Mystery Thriller""","""Spy Thriller""",928,91
91113,""" usa""",26,425192733,8,"""Portrait of a Killer: Jack the Ripper - Case Closed""","""Patricia Cornwell (Goodreads Author)""","""English""","""Nonfiction""","""True Crime""","""History""","""Crime""","""Mystery""","""Biography""","""Historical""","""Thriller""","""Horror""","""British Literature""",383,2
91113,""" usa""",26,553581058,9,"""O Jerusalem""","""Laurie R King (Goodreads Author)""","""English""","""Mystery""","""Historical Fiction""","""Fiction""","""Historical Mystery""","""Historical""","""Crime""","""Mystery Thriller""","""Adult""","""Adventure""","""Audiobook""",425,99
95359,""" usa""",33,385486804,10,"""Into the Wild""","""Jon Krakauer (Goodreads Author)""","""English""","""Nonfiction""","""Biography""","""Travel""","""Adventure""","""Classics""","""Memoir""","""Nature""","""Biography Memoir""","""School""","""Survival""",207,96
95359,""" usa""",33,375725784,9,"""A Heartbreaking Work of Staggering Genius""","""Dave Eggers""","""English""","""Fiction""","""Contemporary""","""Literature""","""Novels""","""Humor""","""Biography Memoir""","""American""","""Unfinished""","""Adult""","""Literary Fiction""",485,0
95359,""" usa""",33,452281431,7,"""Beautys Punishment""","""AN Roquelaure (pseudonym), Anne Rice""","""English""","""Erotica""","""Fiction""","""Fantasy""","""Romance""","""BDSM""","""Adult""","""Fairy Tales""","""Adult Fiction""","""Sexuality""","""Erotic Romance""",233,84
95359,""" usa""",33,375701214,8,"""The Diving Bell and the Butterfly""","""Jean-Dominique Bauby, Jeremy Leggatt (Translator)""","""English""","""Nonfiction""","""Memoir""","""Biography""","""Biography Memoir""","""Autobiography""","""France""","""Medicine""","""Medical""","""Classics""","""Disability""",132,97
95359,""" usa""",33,807508527,9,"""The Boxcar Children""","""Gertrude Chandler Warner, L Kate Deal (Illustrator)""","""English""","""Childrens""","""Fiction""","""Mystery""","""Classics""","""Young Adult""","""Middle Grade""","""Chapter Books""","""Adventure""","""Juvenile""","""Realistic Fiction""",160,42
95359,""" usa""",33,743477154,9,"""Postmortem""","""Patricia Daniels Cornwell, Patricia Cornwell (Goodreads Author)""","""English""","""Mystery""","""Crime""","""Fiction""","""Thriller""","""Mystery Thriller""","""Suspense""","""Murder Mystery""","""Detective""","""Adult""","""Audiobook""",342,90
98943,""" canada""",32,345335708,7,"""Castle of Wizardry""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Audiobook""",375,84
98943,""" canada""",32,345316509,8,"""Job: A Comedy of Justice""","""Robert A Heinlein""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Humor""","""Religion""","""Speculative Fiction""","""Comedy""","""Adventure""","""Novels""",439,84
98943,""" canada""",32,380752867,7,"""And Eternity""","""Piers Anthony""","""English""","""Fantasy""","""Fiction""","""Science Fiction""","""Science Fiction Fantasy""","""Urban Fantasy""","""Paranormal""","""Magic""","""Mythology""","""Supernatural""","""Adult""",378,89
100906,""" usa""",34,385486804,9,"""Into the Wild""","""Jon Krakauer (Goodreads Author)""","""English""","""Nonfiction""","""Biography""","""Travel""","""Adventure""","""Classics""","""Memoir""","""Nature""","""Biography Memoir""","""School""","""Survival""",207,96
100906,""" usa""",34,375705090,8,"""Zen in the Art of Archery""","""Eugen Herrigel, DT Suzuki (Introduction), ?????? ? ????????? (Translator), RFC Hull (Translator)""","""English""","""Philosophy""","""Nonfiction""","""Buddhism""","""Zen""","""Spirituality""","""Religion""","""Japan""","""Martial Arts""","""Psychology""","""Classics""",81,48
100906,""" usa""",34,345335708,9,"""Castle of Wizardry""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Audiobook""",375,84
100906,""" usa""",34,807508527,9,"""The Boxcar Children""","""Gertrude Chandler Warner, L Kate Deal (Illustrator)""","""English""","""Childrens""","""Fiction""","""Mystery""","""Classics""","""Young Adult""","""Middle Grade""","""Chapter Books""","""Adventure""","""Juvenile""","""Realistic Fiction""",160,42
100906,""" usa""",34,679767800,9,"""The Stars My Destination""","""Alfred Bester, Neil Gaiman (Goodreads Author) (Introduction)""","""English""","""Science Fiction""","""Fiction""","""Classics""","""Cyberpunk""","""Science Fiction Fantasy""","""Space Opera""","""Fantasy""","""Novels""","""Speculative Fiction""","""Space""",258,55
100906,""" usa""",34,553295276,9,"""Beauty""","""Sheri S Tepper""","""English""","""Fantasy""","""Science Fiction""","""Fiction""","""Fairy Tales""","""Science Fiction Fantasy""","""Time Travel""","""Retellings""","""Feminism""","""Dystopia""","""Speculative Fiction""",463,91
100906,""" usa""",34,679733973,7,"""The Killer Inside Me""","""Jim Thompson""","""English""","""Fiction""","""Crime""","""Mystery""","""Noir""","""Thriller""","""Horror""","""Classics""","""Mystery Thriller""","""Novels""","""Suspense""",244,52
105517,""" canada""",28,836220889,9,"""Calvin and Hobbes""","""Bill Watterson, GB Trudeau (Foreword)""","""English""","""Comics""","""Humor""","""Graphic Novels""","""Fiction""","""Childrens""","""Comedy""","""Graphic Novels Comics""","""Comic Book""","""Classics""","""Comic Strips""",128,87
105517,""" canada""",28,60958022,6,"""Five Quarters of the Orange""","""Joanne Harris (Goodreads Author)""","""English""","""Fiction""","""Historical Fiction""","""France""","""Historical""","""Food""","""World War II""","""Contemporary""","""War""","""Book Club""","""Mystery""",307,1
105517,""" canada""",28,452283442,8,"""The Darwin Awards: Evolution in Action""","""Wendy Northcutt""","""English""","""Humor""","""Nonfiction""","""Comedy""","""Science""","""Short Stories""","""Reference""","""Evolution""","""Death""","""Anthologies""","""Adult""",352,0
