IDUser,Location,Edad,ISBN,Calificacion,Titulo,Autor,Idioma,Generos1,Generos2,Generos3,Generos4,Generos5,Generos6,Generos7,Generos8,Generos9,Generos10,Paginas,FechaPublicacion
110934,""" usa""",46,64400565,8,"""Stuart Little""","""EB White, Garth Williams (Illustrator)""","""English""","""Childrens""","""Classics""","""Fiction""","""Fantasy""","""Animals""","""Young Adult""","""Middle Grade""","""Adventure""","""Chapter Books""","""Juvenile""",131,45
110934,""" usa""",46,60958022,10,"""Five Quarters of the Orange""","""Joanne Harris (Goodreads Author)""","""English""","""Fiction""","""Historical Fiction""","""France""","""Historical""","""Food""","""World War II""","""Contemporary""","""War""","""Book Club""","""Mystery""",307,1
110934,""" usa""",46,64408639,8,"""The Austere Academy""","""Lemony Snicket (Goodreads Author), Brett Helquist (Illustrator)""","""English""","""Fiction""","""Young Adult""","""Childrens""","""Fantasy""","""Middle Grade""","""Mystery""","""Adventure""","""Humor""","""Audiobook""","""Juvenile""",221,0
110934,""" usa""",46,345411471,8,"""Eureka""","""William Diehl""","""English""","""Fiction""","""Mystery""","""Crime""","""Thriller""","""Mystery Thriller""","""Historical Fiction""","""Historical Mystery""","""Detective""","""""","""""",480,2
150979,""" usa""",34,1576737330,6,"""The Prayer of Jabez: Breaking Through to the Blessed Life""","""Bruce H Wilkinson""","""English""","""Christian""","""Nonfiction""","""Religion""","""Prayer""","""Christianity""","""Spirituality""","""Faith""","""Christian Living""","""Christian Non Fiction""","""Inspirational""",93,0
150979,""" usa""",34,375725784,7,"""A Heartbreaking Work of Staggering Genius""","""Dave Eggers""","""English""","""Fiction""","""Contemporary""","""Literature""","""Novels""","""Humor""","""Biography Memoir""","""American""","""Unfinished""","""Adult""","""Literary Fiction""",485,0
150979,""" usa""",34,64400565,9,"""Stuart Little""","""EB White, Garth Williams (Illustrator)""","""English""","""Childrens""","""Classics""","""Fiction""","""Fantasy""","""Animals""","""Young Adult""","""Middle Grade""","""Adventure""","""Chapter Books""","""Juvenile""",131,45
153054,""" usa""",20,64408639,8,"""The Austere Academy""","""Lemony Snicket (Goodreads Author), Brett Helquist (Illustrator)""","""English""","""Fiction""","""Young Adult""","""Childrens""","""Fantasy""","""Middle Grade""","""Mystery""","""Adventure""","""Humor""","""Audiobook""","""Juvenile""",221,0
153054,""" usa""",20,743246071,9,"""The Queens Fool""","""Philippa Gregory (Goodreads Author)""","""English""","""Historical Fiction""","""Fiction""","""Historical""","""Romance""","""Tudor Period""","""British Literature""","""Adult""","""Historical Romance""","""Adult Fiction""","""Chick Lit""",490,3
153054,""" usa""",20,812565959,9,"""Shadow of the Hegemon""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Adventure""","""Novels""","""Space""","""War""",451,0
153054,""" usa""",20,765340054,9,"""Shadow Puppets""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Novels""","""Adventure""","""Space""","""War""",384,2
153662,""" usa""",44,380756285,9,"""Angel""","""Johanna Lindsey""","""English""","""Romance""","""Historical Romance""","""Historical""","""Westerns""","""Western Romance""","""Historical Fiction""","""Fiction""","""Adult""","""Western Historical Romance""","""Love""",416,92
153662,""" usa""",44,671525743,10,"""Night Whispers""","""Judith McNaught""","""English""","""Romance""","""Contemporary Romance""","""Contemporary""","""Romantic Suspense""","""Fiction""","""Suspense""","""Mystery""","""Chick Lit""","""Adult""","""Historical Romance""",451,98
153662,""" usa""",44,440194903,10,"""When the Wind Blows""","""John Saul""","""English""","""Horror""","""Fiction""","""Thriller""","""Mystery""","""Supernatural""","""Suspense""","""Adult""","""Paranormal""","""Mystery Thriller""","""Fantasy""",352,81
159858,""" usa""",37,385486804,7,"""Into the Wild""","""Jon Krakauer (Goodreads Author)""","""English""","""Nonfiction""","""Biography""","""Travel""","""Adventure""","""Classics""","""Memoir""","""Nature""","""Biography Memoir""","""School""","""Survival""",207,96
159858,""" usa""",37,345316509,8,"""Job: A Comedy of Justice""","""Robert A Heinlein""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Humor""","""Religion""","""Speculative Fiction""","""Comedy""","""Adventure""","""Novels""",439,84
159858,""" usa""",37,743448642,8,"""Whispers and Lies""","""Joy Fielding""","""English""","""Mystery""","""Thriller""","""Fiction""","""Suspense""","""Mystery Thriller""","""Crime""","""Adult""","""Contemporary""","""Romance""","""Drama""",357,2
165319,""" usa""",28,1593071639,8,"""Megatokyo, Volume 1""","""Fred Gallagher, Rodney Caston""","""English""","""Manga""","""Comics""","""Graphic Novels""","""Fiction""","""Humor""","""Webcomic""","""Fantasy""","""Comics Manga""","""Comedy""","""Japan""",152,3
165319,""" usa""",28,886774004,6,"""Arrows Fall""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""Young Adult""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Romance""","""Adventure""","""Adult""",319,88
165319,""" usa""",28,152017682,6,"""The Darkangel""","""Meredith Ann Pierce""","""English""","""Young Adult""","""Fantasy""","""Romance""","""Paranormal""","""Fiction""","""Young Adult Fantasy""","""Angels""","""Vampires""","""Science Fiction""","""Supernatural""",281,82
165319,""" usa""",28,425192733,6,"""Portrait of a Killer: Jack the Ripper - Case Closed""","""Patricia Cornwell (Goodreads Author)""","""English""","""Nonfiction""","""True Crime""","""History""","""Crime""","""Mystery""","""Biography""","""Historical""","""Thriller""","""Horror""","""British Literature""",383,2
166596,""" canada""",57,375725784,9,"""A Heartbreaking Work of Staggering Genius""","""Dave Eggers""","""English""","""Fiction""","""Contemporary""","""Literature""","""Novels""","""Humor""","""Biography Memoir""","""American""","""Unfinished""","""Adult""","""Literary Fiction""",485,0
166596,""" canada""",57,452284449,8,"""The Virgin Blue""","""Tracy Chevalier (Goodreads Author)""","""English""","""Historical Fiction""","""Fiction""","""Historical""","""France""","""Art""","""Mystery""","""Romance""","""Adult Fiction""","""Adult""","""Contemporary""",304,97
166596,""" canada""",57,385720106,9,"""A Map of the World""","""Jane Hamilton, Frank Muller (Narrator), CJ Critt (Narrator)""","""English""","""Fiction""","""Contemporary""","""Adult Fiction""","""Literary Fiction""","""Novels""","""Literature""","""Drama""","""Adult""","""Realistic Fiction""","""Family""",400,92
171118,""" canada""",47,836220889,9,"""Calvin and Hobbes""","""Bill Watterson, GB Trudeau (Foreword)""","""English""","""Comics""","""Humor""","""Graphic Novels""","""Fiction""","""Childrens""","""Comedy""","""Graphic Novels Comics""","""Comic Book""","""Classics""","""Comic Strips""",128,87
171118,""" canada""",47,61000027,7,"""Dance Hall of the Dead""","""Tony Hillerman""","""English""","""Mystery""","""Fiction""","""Crime""","""Mystery Thriller""","""Westerns""","""Audiobook""","""Detective""","""Thriller""","""American""","""Adult""",255,73
171118,""" canada""",47,684853949,8,"""The Man Who Mistook His Wife for a Hat and Other Clinical Tales""","""Oliver Sacks""","""English""","""Nonfiction""","""Psychology""","""Science""","""Medicine""","""Neuroscience""","""Medical""","""Short Stories""","""Essays""","""Health""","""Mental Health""",243,85
171118,""" canada""",47,671795740,7,"""The Gripping Hand""","""Larry Niven, Jerry Pournelle""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Space Opera""","""Aliens""","""Audiobook""","""Fantasy""","""Space""","""Novels""","""Military Fiction""",413,76
171118,""" canada""",47,679767800,7,"""The Stars My Destination""","""Alfred Bester, Neil Gaiman (Goodreads Author) (Introduction)""","""English""","""Science Fiction""","""Fiction""","""Classics""","""Cyberpunk""","""Science Fiction Fantasy""","""Space Opera""","""Fantasy""","""Novels""","""Speculative Fiction""","""Space""",258,55
171118,""" canada""",47,553581058,8,"""O Jerusalem""","""Laurie R King (Goodreads Author)""","""English""","""Mystery""","""Historical Fiction""","""Fiction""","""Historical Mystery""","""Historical""","""Crime""","""Mystery Thriller""","""Adult""","""Adventure""","""Audiobook""",425,99
172676,""" usa""",29,679723110,10,"""Grendel""","""John Gardner""","""English""","""Fiction""","""Fantasy""","""Classics""","""School""","""Literature""","""Mythology""","""Novels""","""Read For School""","""Philosophy""","""Retellings""",174,71
172676,""" usa""",29,380899531,8,"""Love Only Once""","""Johanna Lindsey""","""English""","""Historical Romance""","""Romance""","""Historical""","""Regency""","""Historical Fiction""","""Fiction""","""Regency Romance""","""Adult""","""British Literature""","""Pirates""",344,85
172676,""" usa""",29,380756285,8,"""Angel""","""Johanna Lindsey""","""English""","""Romance""","""Historical Romance""","""Historical""","""Westerns""","""Western Romance""","""Historical Fiction""","""Fiction""","""Adult""","""Western Historical Romance""","""Love""",416,92
187822,""" usa""",37,385486804,9,"""Into the Wild""","""Jon Krakauer (Goodreads Author)""","""English""","""Nonfiction""","""Biography""","""Travel""","""Adventure""","""Classics""","""Memoir""","""Nature""","""Biography Memoir""","""School""","""Survival""",207,96
187822,""" usa""",37,375725784,8,"""A Heartbreaking Work of Staggering Genius""","""Dave Eggers""","""English""","""Fiction""","""Contemporary""","""Literature""","""Novels""","""Humor""","""Biography Memoir""","""American""","""Unfinished""","""Adult""","""Literary Fiction""",485,0
187822,""" usa""",37,812565959,9,"""Shadow of the Hegemon""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Adventure""","""Novels""","""Space""","""War""",451,0
190925,""" usa""",51,743407083,7,"""Grand Avenue""","""Joy Fielding""","""English""","""Fiction""","""Thriller""","""Suspense""","""Mystery""","""Chick Lit""","""Romance""","""Contemporary""","""Drama""","""Mystery Thriller""","""Womens Fiction""",560,1
190925,""" usa""",51,449223833,9,"""The Deep Blue Good-By""","""John D MacDonald, Carl Hiaasen (Goodreads Author) (Introduction)""","""English""","""Mystery""","""Fiction""","""Crime""","""Thriller""","""Noir""","""Detective""","""Mystery Thriller""","""Adventure""","""Audiobook""","""Novels""",310,64
190925,""" usa""",51,743448642,7,"""Whispers and Lies""","""Joy Fielding""","""English""","""Mystery""","""Thriller""","""Fiction""","""Suspense""","""Mystery Thriller""","""Crime""","""Adult""","""Contemporary""","""Romance""","""Drama""",357,2
197659,""" usa""",49,1576737330,8,"""The Prayer of Jabez: Breaking Through to the Blessed Life""","""Bruce H Wilkinson""","""English""","""Christian""","""Nonfiction""","""Religion""","""Prayer""","""Christianity""","""Spirituality""","""Faith""","""Christian Living""","""Christian Non Fiction""","""Inspirational""",93,0
197659,""" usa""",49,61000027,9,"""Dance Hall of the Dead""","""Tony Hillerman""","""English""","""Mystery""","""Fiction""","""Crime""","""Mystery Thriller""","""Westerns""","""Audiobook""","""Detective""","""Thriller""","""American""","""Adult""",255,73
197659,""" usa""",49,440178002,8,"""Sh?gun""","""James Clavell""","""English""","""Historical Fiction""","""Fiction""","""Japan""","""Historical""","""Classics""","""Adventure""","""Asia""","""Literature""","""Novels""","""Japanese Literature""",1152,75
204864,""" usa""",47,1551667010,6,"""The Soul Catcher""","""Alex Kava (Goodreads Author)""","""English""","""Mystery""","""Thriller""","""Crime""","""Suspense""","""Fiction""","""Mystery Thriller""","""Detective""","""Romance""","""Romantic Suspense""","""Psychological Thriller""",307,2
204864,""" usa""",47,684853949,8,"""The Man Who Mistook His Wife for a Hat and Other Clinical Tales""","""Oliver Sacks""","""English""","""Nonfiction""","""Psychology""","""Science""","""Medicine""","""Neuroscience""","""Medical""","""Short Stories""","""Essays""","""Health""","""Mental Health""",243,85
204864,""" usa""",47,679733973,8,"""The Killer Inside Me""","""Jim Thompson""","""English""","""Fiction""","""Crime""","""Mystery""","""Noir""","""Thriller""","""Horror""","""Classics""","""Mystery Thriller""","""Novels""","""Suspense""",244,52
229502,""" romania""",27,886774004,9,"""Arrows Fall""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""Young Adult""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Romance""","""Adventure""","""Adult""",319,88
229502,""" romania""",27,886776619,9,"""Storm Warning""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Adult""","""Adventure""","""Young Adult""","""Science Fiction""",428,94
229502,""" romania""",27,345335708,10,"""Castle of Wizardry""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Audiobook""",375,84
257204,""" usa""",32,886774004,10,"""Arrows Fall""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""Young Adult""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Romance""","""Adventure""","""Adult""",319,88
257204,""" usa""",32,886776619,9,"""Storm Warning""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Adult""","""Adventure""","""Young Adult""","""Science Fiction""",428,94
257204,""" usa""",32,812513738,10,"""The Shadow Rising""","""Robert Jordan""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Epic""","""Adventure""","""Audiobook""","""Magic""","""Adult""",1007,92
257204,""" usa""",32,553560220,10,"""Illusion""","""Paula Volsky""","""English""","""Fantasy""","""Fiction""","""Historical Fiction""","""Historical Fantasy""","""Historical""","""Science Fiction Fantasy""","""Romance""","""Magic""","""Science Fiction""","""Steampunk""",674,91
257204,""" usa""",32,345335708,10,"""Castle of Wizardry""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""Science Fiction Fantasy""","""High Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Audiobook""",375,84
257204,""" usa""",32,380752867,10,"""And Eternity""","""Piers Anthony""","""English""","""Fantasy""","""Fiction""","""Science Fiction""","""Science Fiction Fantasy""","""Urban Fantasy""","""Paranormal""","""Magic""","""Mythology""","""Supernatural""","""Adult""",378,89
257204,""" usa""",32,345367693,10,"""The Diamond Throne""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""High Fantasy""","""Science Fiction Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Adult""",435,89
258152,""" canada""",29,812565959,9,"""Shadow of the Hegemon""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Adventure""","""Novels""","""Space""","""War""",451,0
258152,""" canada""",29,812550757,10,"""Speaker for the Dead""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Young Adult""","""Audiobook""","""Space""","""Aliens""","""Novels""","""Space Opera""",382,86
258152,""" canada""",29,345367693,8,"""The Diamond Throne""","""David Eddings""","""English""","""Fantasy""","""Fiction""","""Epic Fantasy""","""High Fantasy""","""Science Fiction Fantasy""","""Adventure""","""Magic""","""Young Adult""","""Epic""","""Adult""",435,89
265313,""" usa""",33,836220889,10,"""Calvin and Hobbes""","""Bill Watterson, GB Trudeau (Foreword)""","""English""","""Comics""","""Humor""","""Graphic Novels""","""Fiction""","""Childrens""","""Comedy""","""Graphic Novels Comics""","""Comic Book""","""Classics""","""Comic Strips""",128,87
265313,""" usa""",33,425184226,6,"""The Sum of All Fears""","""Tom Clancy""","""""","""Fiction""","""Thriller""","""Espionage""","""Action""","""Military Fiction""","""Suspense""","""Adventure""","""Mystery""","""Mystery Thriller""","""Spy Thriller""",928,91
265313,""" usa""",33,452283442,8,"""The Darwin Awards: Evolution in Action""","""Wendy Northcutt""","""English""","""Humor""","""Nonfiction""","""Comedy""","""Science""","""Short Stories""","""Reference""","""Evolution""","""Death""","""Anthologies""","""Adult""",352,0
270713,""" canada""",27,812565959,10,"""Shadow of the Hegemon""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Adventure""","""Novels""","""Space""","""War""",451,0
270713,""" canada""",27,812550757,10,"""Speaker for the Dead""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Young Adult""","""Audiobook""","""Space""","""Aliens""","""Novels""","""Space Opera""",382,86
270713,""" canada""",27,765340054,8,"""Shadow Puppets""","""Orson Scott Card""","""English""","""Science Fiction""","""Fiction""","""Science Fiction Fantasy""","""Fantasy""","""Young Adult""","""Audiobook""","""Novels""","""Adventure""","""Space""","""War""",384,2
